Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,13.85,14.4,13.6,14.3,62100
2017-01-04,1483488000,14.25,14.83,13.5,14.6,40600
2017-01-05,1483574400,14.5,15.28,14.18,14.35,46300
2017-01-06,1483660800,13.92,14.4,13.92,14.25,25600
2017-01-09,1483920000,14.2,14.2,13.35,13.75,59500
2017-01-10,1484006400,13.75,14.0,13.3,13.65,21500
2017-01-11,1484092800,13.6,14.1,13.55,13.9,34700
2017-01-12,1484179200,13.95,13.95,13.0,13.15,32600
2017-01-13,1484265600,13.25,14.25,12.95,13.35,38700
2017-01-17,1484611200,13.45,13.47,13.05,13.05,47100
2017-01-18,1484697600,13.05,13.88,12.65,13.85,100100
2017-01-19,1484784000,13.85,14.0,13.7,13.9,53700
2017-01-20,1484870400,13.95,14.05,13.7,13.7,32000
2017-01-23,1485129600,13.7,14.15,13.45,13.55,68300
2017-01-24,1485216000,13.6,14.85,13.6,14.7,70000
2017-01-25,1485302400,14.81,15.0,14.75,14.95,59100
2017-01-26,1485388800,15.0,15.85,14.95,15.63,53000
2017-01-27,1485475200,15.7,15.86,15.25,15.7,30200
2017-01-30,1485734400,15.85,15.85,14.3,14.65,32800
2017-01-31,1485820800,14.75,15.0,14.35,15.0,25100
2017-02-01,1485907200,15.0,15.1,14.6,15.0,20100
2017-02-02,1485993600,14.9,14.9,14.4,14.4,14000
2017-02-03,1486080000,14.65,14.7,14.45,14.6,33800
2017-02-06,1486339200,14.45,14.45,14.25,14.4,14700
2017-02-07,1486425600,14.45,14.55,14.1,14.1,11600
2017-02-08,1486512000,14.15,14.2,13.49,13.6,35600
2017-02-09,1486598400,13.55,13.75,13.5,13.6,9100
2017-02-10,1486684800,13.7,14.05,13.45,14.05,22800
2017-02-13,1486944000,13.9,14.4,13.9,14.35,31000
2017-02-14,1487030400,14.15,14.6,14.05,14.1,20500
2017-02-15,1487116800,14.05,14.1,13.5,13.65,41400
2017-02-16,1487203200,13.7,13.9,13.45,13.7,25700
2017-02-17,1487289600,13.7,13.75,13.35,13.45,24000
2017-02-21,1487635200,13.43,13.5,13.15,13.25,16000
2017-02-22,1487721600,13.1,13.7,12.9,13.5,57500
2017-02-23,1487808000,13.35,13.6,13.1,13.55,38000
2017-02-24,1487894400,13.5,14.65,13.48,14.45,78500
2017-02-27,1488153600,14.8,14.95,14.53,14.75,26700
2017-02-28,1488240000,14.66,14.8,13.75,13.95,19100
2017-03-01,1488326400,14.1,14.8,14.07,14.45,50300
2017-03-02,1488412800,14.65,15.0,13.7,14.5,105000
2017-03-03,1488499200,13.45,14.5,13.35,14.43,91600
2017-03-06,1488758400,13.9,14.15,13.48,13.7,41700
2017-03-07,1488844800,13.6,13.8,13.6,13.75,48700
2017-03-08,1488931200,13.75,13.9,13.7,13.8,46300
2017-03-09,1489017600,13.8,14.05,13.8,13.85,29300
2017-03-10,1489104000,14.0,14.2,13.85,13.95,71700
2017-03-13,1489363200,14.0,14.0,13.4,13.45,33600
2017-03-14,1489449600,13.6,13.6,12.9,13.35,52600
2017-03-15,1489536000,13.35,13.6,13.2,13.3,23200
2017-03-16,1489622400,13.3,13.4,13.15,13.35,91200
2017-03-17,1489708800,13.4,13.45,12.8,12.9,136400
2017-03-20,1489968000,12.95,13.8,12.9,13.55,52500
2017-03-21,1490054400,13.65,13.65,12.7,12.7,36500
2017-03-22,1490140800,12.65,12.8,12.53,12.65,52400
2017-03-23,1490227200,12.55,13.05,12.5,12.55,18000
2017-03-24,1490313600,12.65,12.95,12.5,12.55,39000
2017-03-27,1490572800,12.65,12.65,12.1,12.2,40000
2017-03-28,1490659200,12.15,12.6,12.05,12.25,107700
2017-03-29,1490745600,12.1,12.8,11.8,12.8,145400
2017-03-30,1490832000,12.8,13.55,12.75,12.9,116900
2017-03-31,1490918400,13.15,13.2,12.4,12.5,108400
2017-04-03,1491177600,12.95,13.1,12.4,12.4,60600
2017-04-04,1491264000,12.45,12.45,12.15,12.25,40400
2017-04-05,1491350400,12.3,13.0,12.3,12.3,79200
2017-04-06,1491436800,12.5,13.15,12.5,13.05,82500
2017-04-07,1491523200,13.1,13.55,13.1,13.3,134600
2017-04-10,1491782400,13.3,13.95,13.3,13.7,58200
2017-04-11,1491868800,13.75,14.05,13.6,13.85,32800
2017-04-12,1491955200,13.55,13.65,12.85,13.2,47100
2017-04-13,1492041600,13.2,13.8,12.95,13.6,40500
2017-04-17,1492387200,13.55,13.75,13.0,13.2,77900
2017-04-18,1492473600,13.15,13.7,13.15,13.45,51200
2017-04-19,1492560000,13.45,13.45,13.2,13.25,15800
2017-04-20,1492646400,13.4,13.8,13.2,13.55,61900
2017-04-21,1492732800,13.55,13.55,13.3,13.4,10100
2017-04-24,1492992000,13.6,13.7,13.37,13.6,21400
2017-04-25,1493078400,13.75,13.95,13.75,13.9,22100
2017-04-26,1493164800,13.9,14.2,13.85,14.0,32500
2017-04-27,1493251200,14.1,14.15,13.9,14.0,23500
2017-04-28,1493337600,13.99,14.25,13.9,14.2,18000
2017-05-01,1493596800,14.15,14.25,14.05,14.15,42900
2017-05-02,1493683200,14.05,14.95,14.05,14.85,35300
2017-05-03,1493769600,14.85,18.35,14.8,17.8,324900
2017-05-04,1493856000,17.35,17.45,16.6,17.1,74000
2017-05-05,1493942400,17.2,17.3,16.65,16.9,53300
2017-05-08,1494201600,16.9,17.6,16.8,17.55,33400
2017-05-09,1494288000,17.5,17.75,17.45,17.75,44400
2017-05-10,1494374400,17.65,18.25,17.4,17.4,50900
2017-05-11,1494460800,17.35,18.1,16.95,18.0,48000
2017-05-12,1494547200,17.95,18.2,17.75,18.15,37100
2017-05-15,1494806400,18.25,18.3,17.8,18.25,54700
2017-05-16,1494892800,18.3,18.35,18.15,18.25,21000
2017-05-17,1494979200,17.8,17.95,17.3,17.3,28700
